ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
328,Fujian,Mainland China,26.07783,117.9895,2020-01-26,35.0
329,Gansu,Mainland China,36.0611,103.8343,2020-01-26,14.0
330,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-26,146.0
331,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-26,46.0
332,Guizhou,Mainland China,26.81536,106.8748,2020-01-26,7.0
333,Hainan,Mainland China,19.19673,109.7455,2020-01-26,22.0
334,Hebei,Mainland China,38.0428,114.5149,2020-01-26,18.0
335,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-26,21.0
336,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-26,128.0
337,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-26,1423.0
338,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-26,100.0
339,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-26,11.0
340,Jiangsu,Mainland China,32.97027,119.464,2020-01-26,47.0
341,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-26,48.0
342,Jilin,Mainland China,43.66657,126.1917,2020-01-26,6.0
343,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-26,23.0
344,Ningxia,Mainland China,37.26923,106.1655,2020-01-26,4.0
345,Qinghai,Mainland China,35.65945,96.02564,2020-01-26,4.0
346,Shaanxi,Mainland China,35.19165,108.8701,2020-01-26,22.0
347,Shandong,Mainland China,36.34377,118.1529,2020-01-26,63.0
348,Shanghai,Mainland China,31.20327,121.4554,2020-01-26,53.0
349,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-26,13.0
350,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-26,69.0
351,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-26,14.0
353,Xinjiang,Mainland China,41.11981,85.17822,2020-01-26,5.0
354,Yunnan,Mainland China,24.97411,101.4868,2020-01-26,19.0
355,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-26,128.0
356,,Thailand,13.7563,100.5018,2020-01-26,8.0
357,,Japan,35.6762,139.6503,2020-01-26,4.0
